,image_name,Up_Lip_Thick,Low_Lip_Thick,L_Lip_Con_Out,R_Lip_Con_Out
0,3a9c9390-d9a2-42fe-b80d-64ccafc03d61U84l2rwsRBQifDiR.png,15.35,-6.71,1.98,1.98
1,3bf11760-56b7-42fd-8151-0777031879e7VokrUA_udjAtJfIz.png,13.92,-8.77,15.7,15.7
2,3aeb398a-f1c1-469e-9867-c4afde25f101WTmfeWEz4T0QeXga.png,8.45,-16.02,43.75,43.75
3,3bf4e71e-f3c6-4122-a7dd-c53d9ae5f53eUrRFtrwsRFoL8cQO.png,3.39,-45.46,103.23,103.23
4,3c401c12-f3c1-49c1-bb4e-d98e974395dfVvy70OX1BkqBOWZB.png,12.2,-12.12,19.84,19.84
5,3c039f67-d3b0-4eac-b55b-2028d2448f53WRxmM7EWpjqOdh4q.png,4.25,-37.86,77.4,77.4
6,3b42c878-e7d5-493a-984b-c1707c1a540bUnYw2bwsRDDnlP4q.png,3.34,-21.59,51.52,51.52
7,3b2c3dc2-54e2-4f1b-bf34-2e5e63dc0e19U8zJ17kTDCo7uvcp.png,1.11,-18.34,65.89,65.89
8,3b014afe-0b58-48bd-ac05-914ba8154388VWL7KBQ1GDoG8j54.png,13.5,-29.32,60.77,60.77
9,3c196c12-e922-4104-8b6a-794143e5f97eUoSJ_rkTDEYaNV7D.png,-5.14,-21.56,43.29,43.29
10,3ba6c0cf-e56a-4bbf-8a12-d139dfe18cfeWBLcCY0jkEkHeLVl.png,9.41,-7.02,28.44,28.44
11,3b0d39c9-3eb3-4fa9-9238-d085dd2a5b6dVtiG0GxSUEvN8tfl.png,14.85,-7.59,47.11,47.11
12,3b280d91-ac67-40ca-bb29-e9b46d0bdb79U8pi07wsRH8E5bSe.png,3.65,-19.7,79.28,79.28
13,3be2ee48-341b-414c-bed2-f477223afb9aVAr1ZdaQwThPgU-b.png,2.58,-44.03,89.5,89.5
14,3ade0bb7-f68e-440c-828a-86ee43a5e3e8VjtiRmxSUB3S72vt.png,2.6,-40.74,101.79,101.79
15,3afe721f-2e3d-4867-b461-28699eaabfd7UUnhInfodDKH2QwI.png,10.31,-19.52,49.1,49.1
16,3c1cafd1-d3fd-4740-bf1a-cdb7c072e229VoJ3tw_udjAwqcKN.png,7.84,-15.09,47.81,47.81
18,3ab5f86c-7d91-49c1-85ac-f2464a3ffbfcVQFTJe1NjnfWA4Xu.png,4.1,-15.45,48.25,48.25
19,3afe01e9-e6be-4338-8f43-0fd7e89d4824VdvySU7sU3zNLeOm.png,14.74,-10.81,11.71,11.71
20,3aa12375-55b6-45e7-88a2-94a1a20f4694V4dpJtFH7Huyn_Nv.png,11.68,-5.9,31.08,31.08
21,3b5d9f0e-6d93-4cbe-b28b-6cd4aba15119UxWuttaQwQaLZhM_.png,9.81,-22.16,41.21,41.21
22,3bad58b1-ca1e-4935-a556-598da2c47302UR0XsCo2N0aSbYkE.png,-10.16,-31.11,61.58,61.58
23,3bb7b4f0-e47b-4b3e-b273-7120810ff558VToahJ3KYn0SZrqW.png,-10.15,-29.77,69.3,69.3
24,3b4fa150-245b-466b-b5e3-ba228ee2021cWBTXvZ3KYndwiy7F.png,2.7,-20.54,63.94,63.94
25,3c26a942-08f9-437f-8545-0e2155128b29We8D-tQbZA_AaNCb.png,-0.95,-22.82,45.08,45.08
26,3bf16027-5a1e-41c7-aef6-07d11b60b4a7WgRhKEDBKxB2pEwq.png,12.23,-41.62,88.4,88.4
27,3afd6c5e-98f2-4198-b01d-396cea09e33dV7Kdo2SBJ3U4iXl6.png,4.81,-63.44,130.54,130.54
28,3b65d8a0-ab47-4fbe-8459-c2e2b1bf2961V5uWsDELxkhqBmnt.png,11.34,-16.32,34.14,34.14
29,3a9dcb78-03d1-4630-80dd-40d3904c66f1U8p9JrkTDCIyej3d.png,8.73,-11.29,25.78,25.78
30,3bd580f9-e367-4384-8518-3a7c2fff6c94VTNbX5krTAgAm2Rc.png,21.98,-7.73,-0.32,-0.32
31,3aec77f1-778c-46bf-8eeb-4dcfdedb4a4eVgepDlONuGT72qg8.png,1.27,-20.58,93.1,93.1
32,3ba71153-8777-498e-beca-efdcf443f3faWGcwQ7q9v_cDAUnC.png,21.1,-5.74,-34.24,-34.24
33,3aadf3ef-ba66-4184-bb96-4cf77af5dd49Uo8YTbkTDFshDeFM.png,7.9,-6.32,50.68,50.68
34,3bb49d9f-828d-4702-ab56-9c7699f89a01UvowybkTDCaFkTGR.png,12.17,-17.3,37.47,37.47
35,3afa7861-1e26-4ddd-8c3c-7c83a99d0dd3VkNWmGxSUGFhh3n1.png,15.88,-3.26,21.07,21.07
36,3c264c45-66ae-4f6f-b956-21cbc02f2080UsZ1krwsRGCmauv8.png,13.36,-29.6,47.44,47.44
37,3b0b4b97-a14a-4d4f-809f-2c30f03cc7f0UynVc7kTDB-2GRtf.png,0.93,-11.85,63.65,63.65
38,3aa31e41-9939-40bd-88cc-fbf86e6acbdeVYVgzBQ1GD85_RFS.png,26.24,-37.91,84.83,84.83
39,3bc738f2-47ca-4edf-84df-e8eaa9e28b94VCgF2WSBJ0p5aJw3.png,5.56,-12.42,47.05,47.05
40,3a9c7d4b-a7fa-4231-b47b-05e6075783ffVXA8gbieoRgEtcLQ.png,8.56,-11.56,54.02,54.02
41,3c3968fd-203d-4396-ae1d-46408eea3d98VsXyXLwsRFYYSgN-.png,14.94,4.38,26.65,26.65
42,3acd4ff9-c9d5-46a1-b6b2-de5807ef327fV34MAmxSUI3SiGg5.png,12.36,-12.05,31.04,31.04
43,3ba99b6d-bf8f-4e9f-9ce2-ed7a009c3d01WdcoxkKdkg_mmevu.png,13.24,-29.05,53.18,53.18
44,3ac34b48-ff35-4f2f-872f-ae2f33ac630fU_t4wtaQwRU9TOCv.png,5.61,-14.8,34.7,34.7
45,3c248124-49ba-4d41-8ab4-0300ded230eeU0PL0taQwRI4Bmnh.png,16.23,-12.42,17.3,17.3
