,image_name,Mouth_Open,L_Lip_Con_Up,R_Lip_Con_Up,M_Lip_Up
0,3a9c9390-d9a2-42fe-b80d-64ccafc03d61U84l2rwsRBQifDiR.png,3.94,1.59,1.59,3.87
1,3bf11760-56b7-42fd-8151-0777031879e7VokrUA_udjAtJfIz.png,0,-4.02,-4.02,8.18
2,3aeb398a-f1c1-469e-9867-c4afde25f101WTmfeWEz4T0QeXga.png,16.42,10.78,10.78,6.72
3,3bf4e71e-f3c6-4122-a7dd-c53d9ae5f53eUrRFtrwsRFoL8cQO.png,13.56,40.16,40.16,7.44
4,3c401c12-f3c1-49c1-bb4e-d98e974395dfVvy70OX1BkqBOWZB.png,3.08,-1.81,-1.81,3.63
5,3c039f67-d3b0-4eac-b55b-2028d2448f53WRxmM7EWpjqOdh4q.png,10.73,34.14,34.14,9.09
6,3b42c878-e7d5-493a-984b-c1707c1a540bUnYw2bwsRDDnlP4q.png,7.86,12.6,12.6,3.45
7,3b2c3dc2-54e2-4f1b-bf34-2e5e63dc0e19U8zJ17kTDCo7uvcp.png,0,2.36,2.36,4.11
8,3b014afe-0b58-48bd-ac05-914ba8154388VWL7KBQ1GDoG8j54.png,19.47,18.43,18.43,7.33
9,3c196c12-e922-4104-8b6a-794143e5f97eUoSJ_rkTDEYaNV7D.png,6.11,0.49,0.49,2.31
10,3ba6c0cf-e56a-4bbf-8a12-d139dfe18cfeWBLcCY0jkEkHeLVl.png,0,-7.9,-7.9,5.77
11,3b0d39c9-3eb3-4fa9-9238-d085dd2a5b6dVtiG0GxSUEvN8tfl.png,3.54,0.95,0.95,7.8
12,3b280d91-ac67-40ca-bb29-e9b46d0bdb79U8pi07wsRH8E5bSe.png,0,17.6,17.6,6.03
13,3be2ee48-341b-414c-bed2-f477223afb9aVAr1ZdaQwThPgU-b.png,26.15,45.55,45.55,12.0
14,3ade0bb7-f68e-440c-828a-86ee43a5e3e8VjtiRmxSUB3S72vt.png,29.77,50.84,50.84,14.75
15,3afe721f-2e3d-4867-b461-28699eaabfd7UUnhInfodDKH2QwI.png,0,2.38,2.38,-0.44
16,3c1cafd1-d3fd-4740-bf1a-cdb7c072e229VoJ3tw_udjAwqcKN.png,0,7.29,7.29,5.04
18,3ab5f86c-7d91-49c1-85ac-f2464a3ffbfcVQFTJe1NjnfWA4Xu.png,22.51,21.16,21.16,7.97
19,3afe01e9-e6be-4338-8f43-0fd7e89d4824VdvySU7sU3zNLeOm.png,4.2,0.54,0.54,5.95
20,3aa12375-55b6-45e7-88a2-94a1a20f4694V4dpJtFH7Huyn_Nv.png,0,-2.08,-2.08,6.44
21,3b5d9f0e-6d93-4cbe-b28b-6cd4aba15119UxWuttaQwQaLZhM_.png,0,-8.42,-8.42,5.82
22,3bad58b1-ca1e-4935-a556-598da2c47302UR0XsCo2N0aSbYkE.png,8.28,43.69,43.69,-6.73
23,3bb7b4f0-e47b-4b3e-b273-7120810ff558VToahJ3KYn0SZrqW.png,8.13,44.13,44.13,-9.67
24,3b4fa150-245b-466b-b5e3-ba228ee2021cWBTXvZ3KYndwiy7F.png,3.33,6.85,6.85,4.74
25,3c26a942-08f9-437f-8545-0e2155128b29We8D-tQbZA_AaNCb.png,6.11,11.32,11.32,4.18
26,3bf16027-5a1e-41c7-aef6-07d11b60b4a7WgRhKEDBKxB2pEwq.png,24.97,33.08,33.08,11.27
27,3afd6c5e-98f2-4198-b01d-396cea09e33dV7Kdo2SBJ3U4iXl6.png,34.48,56.32,56.32,22.95
28,3b65d8a0-ab47-4fbe-8459-c2e2b1bf2961V5uWsDELxkhqBmnt.png,8.89,10.84,10.84,3.02
29,3a9dcb78-03d1-4630-80dd-40d3904c66f1U8p9JrkTDCIyej3d.png,7.84,1.42,1.42,5.49
30,3bd580f9-e367-4384-8518-3a7c2fff6c94VTNbX5krTAgAm2Rc.png,4.7,-1.07,-1.07,6.42
31,3aec77f1-778c-46bf-8eeb-4dcfdedb4a4eVgepDlONuGT72qg8.png,3.02,24.98,24.98,5.76
32,3ba71153-8777-498e-beca-efdcf443f3faWGcwQ7q9v_cDAUnC.png,14.86,-0.09,-0.09,10.09
